 58.79	28744	28744	U	0	unclassified
 41.21	20152	27	R	1	root
 32.32	15803	1749	D	3	  Bacteria
 15.22	7440	79	P	1672	    Firmicutes
 14.55	7114	367	C	1673	      Bacilli
 10.30	5037	731	O	1674	        Bacillales
  7.22	3530	803	F	1680	          Bacillaceae
  3.57	1744	1744	G	1688	            Bacillus
  1.22	596	596	G	1707	            Oceanobacillus
  0.29	140	140	G	1686	            Anoxybacillus
  0.25	124	124	G	1692	            Cerasibacillus
  0.06	28	28	G	1696	            Geobacillus
  0.05	25	25	G	1708	            Ornithinibacillus
  0.05	23	23	G	1727	            Virgibacillus
  0.01	7	7	G	1685	            Anaerobacillus
  0.01	6	6	G	1681	            Aeribacillus
  0.01	6	6	G	1698	            Gracilibacillus
  0.01	5	5	G	1694	            Fictibacillus
  0.01	5	5	G	1700	            Halobacillus
  0.01	4	4	G	1712	            Pontibacillus
  0.01	3	3	G	14352	            Pseudogracilibacillus
  0.01	3	3	G	1729	            uncultured
  0.00	2	2	G	1702	            Lentibacillus
  0.00	1	1	G	1728	            Vulcanibacillus
  0.00	1	1	G	11264	            Allobacillus
  0.00	1	1	G	1723	            Terribacillus
  0.00	1	1	G	1718	            Saliterribacillus
  0.00	1	1	G	1726	            Ureibacillus
  0.00	1	1	G	1709	            Paraliobacillus
  1.55	759	497	F	1753	          Planococcaceae
  0.26	129	129	G	1762	            Lysinibacillus
  0.11	55	55	G	1767	            Solibacillus
  0.05	23	23	G	1770	            uncultured
  0.02	9	9	G	1764	            Planococcus
  0.02	8	8	G	1768	            Sporosarcina
  0.01	7	7	G	11272	            Domibacillus
  0.01	7	7	G	1761	            Kurthia
  0.01	6	6	G	11273	            Psychrobacillus
  0.01	4	4	G	1756	            Chryseomicrobium
  0.01	4	4	G	1763	            Paenisporosarcina
  0.01	3	3	G	1754	            Bhargavaea
  0.01	3	3	G	1757	            Chungangia
  0.01	3	3	G	1765	            Planomicrobium
  0.00	1	1	G	1755	            Caryophanon
  0.03	16	0	F	45175	          Salisediminibacteriaceae
  0.03	16	16	G	45177	            Salipaludibacillus
  0.00	1	0	F	45167	          Marinococcaceae
  0.00	1	1	G	45168	            Alteribacillus
  2.48	1214	0	O	45183	        Caldalkalibacillales
  2.48	1214	0	F	45184	          Caldalkalibacillaceae
  2.48	1214	1214	G	45185	            Caldalkalibacillus
  0.36	177	37	O	1800	        Lactobacillales
  0.17	82	0	F	1828	          Enterococcaceae
  0.17	82	82	G	1831	            Enterococcus
  0.06	31	0	F	1836	          Lactobacillaceae
  0.06	30	30	G	1837	            Lactobacillus
  0.00	1	1	G	1838	            Pediococcus
  0.03	13	0	F	1811	          Carnobacteriaceae
  0.02	9	9	G	1821	            Granulicatella
  0.00	1	1	G	1812	            Alkalibacterium
  0.00	1	1	G	1819	            Desemzia
  0.00	1	1	G	1820	            Dolosigranulum
  0.00	1	1	G	1826	            Trichococcus
  0.02	8	0	F	1850	          Streptococcaceae
  0.01	7	7	G	1853	            Streptococcus
  0.00	1	1	G	1851	            Lactococcus
  0.01	4	0	F	1839	          Leuconostocaceae
  0.00	2	2	G	1841	            Leuconostoc
  0.00	2	2	G	1843	            Weissella
  0.00	1	1	F	1847	          P5D1-392
  0.00	1	0	F	45256	          Listeriaceae
  0.00	1	1	G	45258	            Listeria
  0.27	134	0	O	45270	        Paenibacillales
  0.27	134	50	F	45271	          Paenibacillaceae
  0.17	82	82	G	45277	            Paenibacillus
  0.00	2	2	G	45273	            Ammoniphilus
  0.13	65	1	O	45200	        Erysipelotrichales
  0.12	57	0	F	45214	          Erysipelotrichaceae
  0.12	57	57	G	45229	            Holdemanella
  0.01	7	0	F	45201	          Erysipelatoclostridiaceae
  0.01	3	3	G	45212	            UCG-004
  0.00	1	1	G	45202	            Asteroleplasma
  0.00	1	1	G	45203	            Candidatus Stoquefichus
  0.00	1	1	G	45207	            Erysipelatoclostridium
  0.00	1	1	G	45208	            Erysipelotrichaceae UCG-002
  0.11	56	1	O	45284	        Staphylococcales
  0.10	51	0	F	45287	          Staphylococcaceae
  0.10	50	50	G	45295	            Staphylococcus
  0.00	1	1	G	45291	            Jeotgalicoccus
  0.01	4	0	F	45285	          Gemellaceae
  0.01	4	4	G	45286	            Gemella
  0.08	38	0	O	45158	        Alicyclobacillales
  0.08	38	0	F	45159	          Alicyclobacillaceae
  0.07	34	34	G	45163	            Tumebacillus
  0.01	4	4	G	45162	            Effusibacillus
  0.02	10	0	O	45180	        Brevibacillales
  0.02	10	0	F	45181	          Brevibacillaceae
  0.02	10	10	G	45182	            Brevibacillus
  0.02	8	0	O	45240	        Exiguobacterales
  0.02	8	0	F	45241	          Exiguobacteraceae
  0.02	8	8	G	45242	            Exiguobacterium
  0.00	2	0	O	45263	        Mycoplasmatales
  0.00	2	0	F	45264	          Mycoplasmataceae
  0.00	2	2	G	45267	            Mycoplasma
  0.00	2	0	O	45300	        Thermoactinomycetales
  0.00	2	1	F	45301	          Thermoactinomycetaceae
  0.00	1	1	G	45317	            Seinonella
  0.00	1	0	O	45189	        Entomoplasmatales
  0.00	1	0	F	45197	          Spiroplasmataceae
  0.00	1	1	G	45198	            Spiroplasma
  0.00	1	0	O	45164	        Aneurinibacillales
  0.00	1	0	F	45165	          Aneurinibacillaceae
  0.00	1	1	G	45166	            Aneurinibacillus
  0.00	1	0	O	45246	        Izemoplasmatales
  0.00	1	0	F	45247	          Izemoplasmataceae
  0.00	1	1	G	45248	            Izimaplasma
  0.00	1	1	O	45282	        RF39
  0.44	215	50	C	1859	      Clostridia
  0.19	92	3	O	45570	        Peptostreptococcales-Tissierellales
  0.09	46	9	F	45618	          Peptostreptococcaceae
  0.03	17	17	G	45631	            Romboutsia
  0.01	6	6	G	45626	            Paraclostridium
  0.01	4	4	G	45637	            uncultured
  0.01	4	4	G	45625	            Paeniclostridium
  0.01	3	3	G	45634	            Terrisporobacter
  0.00	2	2	G	45624	            Intestinibacter
  0.00	1	1	G	45628	            Peptoclostridium
  0.06	30	0	F	45579	          Anaerovoracaceae
  0.03	13	13	G	45584	            Mogibacterium
  0.01	5	5	G	45581	            Anaerovorax
  0.01	5	5	G	45582	            Family XIII AD3011 group
