genus	reads	relative_abundance	percent
Caldalkalibacillus	24334	0.288714346732476	28.8714346732476
Oceanobacillus	15447	0.183273219116321	18.3273219116321
Vulcaniibacterium	10318	0.122419439039438	12.2419439039438
Massilia	5585	0.066264059607992	6.6264059607992
Pseudomonas	4195	0.0497721987565849	4.97721987565849
Bacillus	3005	0.0356532675240852	3.56532675240852
uncultured	1993	0.0236462436524133	2.36462436524133
Stenotrophomonas	1418	0.0168240709980542	1.68240709980542
Saccharopolyspora	1349	0.0160054102795311	1.60054102795311
Burkholderia-Caballeronia-Paraburkholderia	1226	0.014546058563903	1.4546058563903
Leucothecium	1089	0.0129206017749514	1.29206017749514
Chryseobacterium	938	0.0111290399126762	1.11290399126762
Sediminibacterium	803	0.00952731241991363	0.952731241991363
Paenibacillus	741	0.0087917042380523	0.87917042380523
Cellvibrio	735	0.00872051634948507	0.872051634948507
Asinibacterium	632	0.00749845759574771	0.749845759574771
Geobacillus	512	0.00607469982440321	0.607469982440321
Escherichia-Shigella	499	0.00592045939917422	0.592045939917422
Comamonas	495	0.00587300080679607	0.587300080679607
Delftia	456	0.00541027953110911	0.541027953110911
Achromobacter	435	0.00516112192112382	0.516112192112382
Nocardia	425	0.00504247544017844	0.504247544017844
Sphingomonas	377	0.00447297233164064	0.447297233164064
Halomonas	356	0.00422381472165536	0.422381472165536
Virgibacillus	304	0.0036068530207394	0.36068530207394
Tepidiphilus	282	0.00334583076265958	0.334583076265958
Solibacillus	262	0.00310853780076883	0.310853780076883
Rikenellaceae RC9 gut group	246	0.00291870343125623	0.291870343125623
Verticiella	228	0.00270513976555455	0.270513976555455
Gemmobacter	208	0.0024678468036638	0.24678468036638
Sphingobacterium	207	0.00245598215556927	0.245598215556927
Flavobacterium	184	0.0021830952493949	0.21830952493949
Corynebacterium	181	0.00214750130511129	0.214750130511129
Sulfuritalea	150	0.00177969721418063	0.177969721418063
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	138	0.00163732143704618	0.163732143704618
Aquabacterium	129	0.00153053960419534	0.153053960419534
Curvibacter	127	0.00150681030800626	0.150681030800626
Tetragenococcus	120	0.0014237577713445	0.14237577713445
Parapusillimonas	117	0.00138816382706089	0.138816382706089
Janthinobacterium	92	0.00109154762469745	0.109154762469745
Anoxybacillus	90	0.00106781832850838	0.106781832850838
Pseudonocardia	90	0.00106781832850838	0.106781832850838
KCM-B-112	81	0.000961036495657539	0.0961036495657539
Undibacterium	78	0.000925442551373926	0.0925442551373926
Streptomyces	72	0.000854254662806701	0.0854254662806701
Microbacterium	62	0.000735608181861326	0.0735608181861326
Microbotryum	62	0.000735608181861326	0.0735608181861326
Noviherbaspirillum	61	0.000723743533766788	0.0723743533766788
F0332	60	0.000711878885672251	0.0711878885672251
Paracoccus	58	0.000688149589483176	0.0688149589483176
Acidovorax	56	0.000664420293294101	0.0664420293294101
Crossiella	56	0.000664420293294101	0.0664420293294101
Herminiimonas	56	0.000664420293294101	0.0664420293294101
Neisseria	55	0.000652555645199563	0.0652555645199563
Brevibacillus	54	0.000640690997105026	0.0640690997105026
Pelomonas	54	0.000640690997105026	0.0640690997105026
Staphylococcus	54	0.000640690997105026	0.0640690997105026
Methylobacterium-Methylorubrum	53	0.000628826349010488	0.0628826349010488
Polynucleobacter	53	0.000628826349010488	0.0628826349010488
Lysinibacillus	52	0.000616961700915951	0.0616961700915951
Paenalcaligenes	52	0.000616961700915951	0.0616961700915951
Cutibacterium	51	0.000605097052821413	0.0605097052821413
Enterococcus	51	0.000605097052821413	0.0605097052821413
Novosphingobium	49	0.000581367756632338	0.0581367756632338
Pantoea	44	0.000522044516159651	0.0522044516159651
Thiobacillus	43	0.000510179868065113	0.0510179868065113
Diaphorobacter	39	0.000462721275686963	0.0462721275686963
Limnobacter	36	0.000427127331403351	0.0427127331403351
Lysobacter	36	0.000427127331403351	0.0427127331403351
Cloacibacterium	35	0.000415262683308813	0.0415262683308813
Altererythrobacter	34	0.000403398035214276	0.0403398035214276
Sphingobium	31	0.000367804090930663	0.0367804090930663
Micrococcus	30	0.000355939442836125	0.0355939442836125
