genus	reads	relative_abundance	percent
Caldalkalibacillus	6703	0.293065757257782	29.3065757257782
Oceanobacillus	1972	0.0862189576775096	8.62189576775096
Bacillus	1839	0.0804039874081847	8.04039874081847
Malassezia	1759	0.0769062609303952	7.69062609303952
Vulcaniibacterium	1306	0.0571003847499126	5.71003847499126
Leucothecium	1188	0.0519412381951731	5.19412381951731
Aspergillus	783	0.0342339979013641	3.42339979013641
Pseudomonas	492	0.021511017838405	2.1511017838405
Baltazaria	416	0.0181881776845051	1.81881776845051
Natribacillus	416	0.0181881776845051	1.81881776845051
Escherichia-Shigella	330	0.0144281217208814	1.44281217208814
uncultured	301	0.0131601958726828	1.31601958726828
Sphingobacterium	267	0.0116736621196222	1.16736621196222
Microbotryum	239	0.0104494578523959	1.04494578523959
Burkholderia-Caballeronia-Paraburkholderia	218	0.00953130465197622	0.953130465197622
Monilochaetes	209	0.0091378104232249	0.91378104232249
Fragosphaeria	198	0.00865687303252886	0.865687303252886
Cutibacterium	191	0.00835082196572228	0.835082196572228
Geobacillus	174	0.00760755508919203	0.760755508919203
Sciscionella	153	0.0066894018887723	0.66894018887723
Saccharopolyspora	150	0.00655823714585519	0.655823714585519
Teichospora	149	0.00651451556488283	0.651451556488283
Sistotrema	120	0.00524658971668416	0.524658971668415
Corynebacterium	107	0.00467820916404337	0.467820916404337
Halomonas	102	0.00445960125918153	0.445960125918153
Acinetobacter	90	0.00393494228751312	0.393494228751312
Streptomyces	86	0.00376005596362364	0.376005596362364
Tetragenococcus	78	0.0034102833158447	0.34102833158447
Microbacterium	72	0.00314795383001049	0.314795383001049
Duganella	70	0.00306051066806576	0.306051066806576
Sediminibacterium	65	0.00284190276320392	0.284190276320392
Virgibacillus	65	0.00284190276320392	0.284190276320392
Actinomadura	63	0.00275445960125918	0.275445960125918
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	63	0.00275445960125918	0.275445960125918
Salipaludibacillus	62	0.00271073802028681	0.271073802028681
Enterococcus	58	0.00253585169639734	0.253585169639734
Rubrobacter	57	0.00249213011542497	0.249213011542497
Curvibacter	56	0.00244840853445261	0.244840853445261
Methylobacterium-Methylorubrum	56	0.00244840853445261	0.244840853445261
Cladosporium	45	0.00196747114375656	0.196747114375656
Rhizopus	45	0.00196747114375656	0.196747114375656
Sinobaca	45	0.00196747114375656	0.196747114375656
DSSD61	44	0.00192374956278419	0.192374956278419
Pseudonocardia	44	0.00192374956278419	0.192374956278419
Sphingomonas	43	0.00188002798181182	0.188002798181182
Rikenellaceae RC9 gut group	39	0.00170514165792235	0.170514165792235
Solibacillus	39	0.00170514165792235	0.170514165792235
Stenotrophomonas	39	0.00170514165792235	0.170514165792235
Staphylococcus	35	0.00153025533403288	0.153025533403288
Lysinibacillus	33	0.00144281217208814	0.144281217208814
Romboutsia	29	0.00126792584819867	0.126792584819867
Rothia	28	0.0012242042672263	0.12242042672263
BD1-7 clade	26	0.00113676110528157	0.113676110528157
Pelomonas	26	0.00113676110528157	0.113676110528157
Brevundimonas	24	0.00104931794333683	0.104931794333683
Psychrobacter	24	0.00104931794333683	0.104931794333683
Delftia	23	0.00100559636236446	0.100559636236446
Massilia	23	0.00100559636236446	0.100559636236446
Enhydrobacter	22	0.000961874781392095	0.0961874781392095
Alistipes	21	0.000918153200419727	0.0918153200419727
Anoxybacillus	21	0.000918153200419727	0.0918153200419727
Arthrobacter	20	0.000874431619447359	0.0874431619447359
Deinococcus	20	0.000874431619447359	0.0874431619447359
Pantoea	20	0.000874431619447359	0.0874431619447359
Exophiala	18	0.000786988457502623	0.0786988457502623
Georgenia	18	0.000786988457502623	0.0786988457502623
Micrococcus	18	0.000786988457502623	0.0786988457502623
Enterobacter	17	0.000743266876530255	0.0743266876530255
Sporosarcina	17	0.000743266876530255	0.0743266876530255
Thekopsora	14	0.000612102133613151	0.0612102133613151
Umbilicaria	14	0.000612102133613151	0.0612102133613151
Aureobasidium	13	0.000568380552640783	0.0568380552640783
Brevibacillus	13	0.000568380552640783	0.0568380552640783
Comamonas	13	0.000568380552640783	0.0568380552640783
Nesterenkonia	13	0.000568380552640783	0.0568380552640783
Neisseria	12	0.000524658971668416	0.0524658971668416
Novosphingobium	12	0.000524658971668416	0.0524658971668416
Peziza	12	0.000524658971668416	0.0524658971668416
Shewanella	12	0.000524658971668416	0.0524658971668416
Verticillium	12	0.000524658971668416	0.0524658971668416
Bradyrhizobium	11	0.000480937390696048	0.0480937390696048
Talaromyces	11	0.000480937390696048	0.0480937390696048
Peptoclostridium	10	0.00043721580972368	0.043721580972368
Sphingobium	10	0.00043721580972368	0.043721580972368
Candidatus Limnoluna	9	0.000393494228751312	0.0393494228751312
Cordyceps	9	0.000393494228751312	0.0393494228751312
Diatrypasimilis	9	0.000393494228751312	0.0393494228751312
Lawsonella	9	0.000393494228751312	0.0393494228751312
Neocatenulostroma	9	0.000393494228751312	0.0393494228751312
Selenomonas	9	0.000393494228751312	0.0393494228751312
Aeribacillus	8	0.000349772647778944	0.0349772647778944
Altererythrobacter	8	0.000349772647778944	0.0349772647778944
Blastomyces	8	0.000349772647778944	0.0349772647778944
Lentibacillus	8	0.000349772647778944	0.0349772647778944
Paraclostridium	8	0.000349772647778944	0.0349772647778944
Polaromonas	8	0.000349772647778944	0.0349772647778944
Pseudarthrobacter	8	0.000349772647778944	0.0349772647778944
Terrisporobacter	8	0.000349772647778944	0.0349772647778944
Achromobacter	7	0.000306051066806576	0.0306051066806576
Acidovorax	7	0.000306051066806576	0.0306051066806576
Brevibacterium	7	0.000306051066806576	0.0306051066806576
Carboxydocella	7	0.000306051066806576	0.0306051066806576
Cladophialophora	7	0.000306051066806576	0.0306051066806576
Conioscypha	7	0.000306051066806576	0.0306051066806576
Desulfofarcimen	7	0.000306051066806576	0.0306051066806576
Mycobacterium	7	0.000306051066806576	0.0306051066806576
Ochrobactrum	7	0.000306051066806576	0.0306051066806576
Sphaerotilus	7	0.000306051066806576	0.0306051066806576
Aquabacterium	6	0.000262329485834208	0.0262329485834208
Colletotrichum	6	0.000262329485834208	0.0262329485834208
Flavobacterium	6	0.000262329485834208	0.0262329485834208
Glutamicibacter	6	0.000262329485834208	0.0262329485834208
Intestinibacter	6	0.000262329485834208	0.0262329485834208
Leptothrix	6	0.000262329485834208	0.0262329485834208
Paeniglutamicibacter	6	0.000262329485834208	0.0262329485834208
Paracoccus	6	0.000262329485834208	0.0262329485834208
Penicillium	6	0.000262329485834208	0.0262329485834208
Phenylobacterium	6	0.000262329485834208	0.0262329485834208
Sphingopyxis	6	0.000262329485834208	0.0262329485834208
Stereocaulon	6	0.000262329485834208	0.0262329485834208
Verrucula	6	0.000262329485834208	0.0262329485834208
Actinomyces	5	0.00021860790486184	0.021860790486184
Ascosphaera	5	0.00021860790486184	0.021860790486184
Ensifer	5	0.00021860790486184	0.021860790486184
Fusarium	5	0.00021860790486184	0.021860790486184
Limnobacter	5	0.00021860790486184	0.021860790486184
Mesorhizobium	5	0.00021860790486184	0.021860790486184
Microbulbifer	5	0.00021860790486184	0.021860790486184
Ochrolechia	5	0.00021860790486184	0.021860790486184
Paeniclostridium	5	0.00021860790486184	0.021860790486184
Psychrobacillus	5	0.00021860790486184	0.021860790486184
Rhodoferax	5	0.00021860790486184	0.021860790486184
Thalassobacillus	5	0.00021860790486184	0.021860790486184
Arenimonas	4	0.000174886323889472	0.0174886323889472
Azospira	4	0.000174886323889472	0.0174886323889472
Blastocatella	4	0.000174886323889472	0.0174886323889472
Caenimonas	4	0.000174886323889472	0.0174886323889472
Candidatus Aquiluna	4	0.000174886323889472	0.0174886323889472
Christensenellaceae R-7 group	4	0.000174886323889472	0.0174886323889472
Clostridium sensu stricto 1	4	0.000174886323889472	0.0174886323889472
Cryomyces	4	0.000174886323889472	0.0174886323889472
Diaphorobacter	4	0.000174886323889472	0.0174886323889472
Exiguobacterium	4	0.000174886323889472	0.0174886323889472
Halobacillus	4	0.000174886323889472	0.0174886323889472
Halophytophthora	4	0.000174886323889472	0.0174886323889472
Klebsiella	4	0.000174886323889472	0.0174886323889472
Lactobacillus	4	0.000174886323889472	0.0174886323889472
Nitratireductor	4	0.000174886323889472	0.0174886323889472
Nocardiopsis	4	0.000174886323889472	0.0174886323889472
Ophiocordyceps	4	0.000174886323889472	0.0174886323889472
Ornithinibacillus	4	0.000174886323889472	0.0174886323889472
Paenibacillus	4	0.000174886323889472	0.0174886323889472
Phaseolibacter	4	0.000174886323889472	0.0174886323889472
Ramularia	4	0.000174886323889472	0.0174886323889472
Salpingoeca	4	0.000174886323889472	0.0174886323889472
Serratia	4	0.000174886323889472	0.0174886323889472
Simplicispira	4	0.000174886323889472	0.0174886323889472
Tetracladium	4	0.000174886323889472	0.0174886323889472
Tumebacillus	4	0.000174886323889472	0.0174886323889472
Zygosaccharomyces	4	0.000174886323889472	0.0174886323889472
Zymoseptoria	4	0.000174886323889472	0.0174886323889472
Alatospora	3	0.000131164742917104	0.0131164742917104
Alicyclobacillus	3	0.000131164742917104	0.0131164742917104
