genus	reads	relative_abundance	percent
Caldalkalibacillus	54471	0.353758329111951	35.3758329111951
Bacillus	11885	0.0771863512969385	7.71863512969385
Oceanobacillus	11797	0.0766148410811934	7.66148410811934
Pseudomonas	8826	0.0573198768655262	5.73198768655262
Vulcaniibacterium	8780	0.057021132889114	5.7021132889114
Saccharopolyspora	6906	0.0448505630674512	4.48505630674512
Massilia	5009	0.0325306212575822	3.25306212575823
Burkholderia-Caballeronia-Paraburkholderia	3783	0.0245684448427697	2.45684448427697
Malassezia	3062	0.0198859577342218	1.98859577342218
Sphingobacterium	2408	0.0156385977217525	1.56385977217525
uncultured	1853	0.0120341867019964	1.20341867019964
Sphingomonas	1775	0.0115276208289496	1.15276208289496
Comamonas	1764	0.0114561820519815	1.14561820519815
Geobacillus	1583	0.0102806894491421	1.02806894491421
Chryseobacterium	1541	0.0100079232098092	1.00079232098092
Virgibacillus	1272	0.00826092039122472	0.826092039122472
Stenotrophomonas	1266	0.00822195378560574	0.822195378560574
Wallemia	1094	0.00710491109119485	0.710491109119485
Novosphingobium	817	0.00530595279845173	0.530595279845173
Flavobacterium	696	0.00452012625180221	0.452012625180221
Halomonas	694	0.00450713738326254	0.450713738326254
Escherichia-Shigella	655	0.00425385444673914	0.425385444673914
Acinetobacter	639	0.00414994349842185	0.414994349842185
Neisseria	579	0.00376027744223201	0.376027744223201
Actinomadura	578	0.00375378300796218	0.375378300796218
DSSF69	532	0.00345503903154996	0.345503903154996
Tetragenococcus	487	0.00316278948940758	0.316278948940758
Fluviicola	481	0.00312382288378859	0.312382288378859
Cellvibrio	454	0.00294847315850316	0.294847315850316
Altererythrobacter	448	0.00290950655288418	0.290950655288418
Pseudonocardia	434	0.00281858447310655	0.281858447310655
Methylobacterium-Methylorubrum	420	0.00272766239332892	0.272766239332892
Milano-WF1B-03	412	0.00267570691917027	0.267570691917027
Methylophaga	380	0.00246788502253569	0.246788502253569
Enterococcus	340	0.00220810765174246	0.220810765174246
Curvibacter	308	0.00200028575510787	0.200028575510787
Microbacterium	300	0.00194833028094923	0.194833028094923
Salipaludibacillus	291	0.00188988037252075	0.188988037252075
Staphylococcus	289	0.00187689150398109	0.187689150398109
Corynebacterium	277	0.00179895829274312	0.179895829274312
Erythrobacter	273	0.0017729805556638	0.17729805556638
Anoxybacillus	269	0.00174700281858447	0.174700281858447
Janthinobacterium	263	0.00170803621296549	0.170803621296549
Streptomyces	256	0.00166257517307667	0.166257517307667
Cutibacterium	247	0.0016041252646482	0.16041252646482
Polynucleobacter	245	0.00159113639610854	0.159113639610854
Castellaniella	239	0.00155216979048955	0.155216979048955
Candidatus Symbiobacter	235	0.00152619205341023	0.152619205341023
Sphingobium	229	0.00148722544779124	0.148722544779124
Sphingopyxis	222	0.00144176440790243	0.144176440790243
Wolinella	212	0.00137682006520412	0.137682006520412
Pantoea	192	0.00124693137980751	0.124693137980751
Zymomonas	189	0.00122744807699801	0.122744807699801
Nordella	188	0.00122095364272818	0.122095364272818
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	183	0.00118848147137903	0.118848147137903
Cerasibacillus	177	0.00114951486576004	0.114951486576004
Thioalkalivibrio	176	0.00114302043149021	0.114302043149021
Taibaiella	173	0.00112353712868072	0.112353712868072
Streptococcus	164	0.00106508722025224	0.106508722025224
Pedobacter	158	0.00102612061463326	0.102612061463326
Delftia	153	0.000993648443284106	0.0993648443284106
Brevibacillus	150	0.000974165140474613	0.0974165140474613
Alicyclobacillus	145	0.00094169296912546	0.094169296912546
Hydrogenophaga	133	0.00086375975788749	0.086375975788749
Georgenia	129	0.000837782020808167	0.0837782020808167
Candidatus Paracaedibacter	128	0.000831287586538337	0.0831287586538337
Lysobacter	123	0.000798815415189183	0.0798815415189183
Brevundimonas	120	0.000779332112379691	0.0779332112379691
Bradyrhizobium	116	0.000753354375300368	0.0753354375300368
Cupriavidus	115	0.000746859941030537	0.0746859941030537
Pelomonas	115	0.000746859941030537	0.0746859941030537
MN 122.2a	113	0.000733871072490875	0.0733871072490875
Limnohabitans	111	0.000720882203951214	0.0720882203951214
Micrococcus	106	0.00068841003260206	0.068841003260206
Christensenellaceae R-7 group	103	0.000668926729792568	0.0668926729792568
Sediminibacterium	100	0.000649443426983076	0.0649443426983076
Thiobacillus	100	0.000649443426983076	0.0649443426983076
Acidovorax	99	0.000642948992713245	0.0642948992713245
Porphyrobacter	98	0.000636454558443414	0.0636454558443414
Turicella	95	0.000616971255633922	0.0616971255633922
Achromobacter	91	0.000590993518554599	0.0590993518554599
Microvirga	91	0.000590993518554599	0.0590993518554599
Falsirhodobacter	90	0.000584499084284768	0.0584499084284768
Diaphorobacter	89	0.000578004650014937	0.0578004650014937
Aeribacillus	84	0.000545532478665783	0.0545532478665783
Romboutsia	84	0.000545532478665783	0.0545532478665783
Azospirillum	83	0.000539038044395953	0.0539038044395953
Lysinibacillus	82	0.000532543610126122	0.0532543610126122
Shewanella	81	0.000526049175856291	0.0526049175856291
Haemophilus	77	0.000500071438776968	0.0500071438776968
Filobacillus	76	0.000493577004507137	0.0493577004507137
Arthrobacter	67	0.000435127096078661	0.0435127096078661
Qipengyuania	66	0.00042863266180883	0.042863266180883
Aquabacterium	65	0.000422138227538999	0.0422138227538999
Sphingorhabdus	65	0.000422138227538999	0.0422138227538999
Ralstonia	63	0.000409149358999338	0.0409149358999338
Cladosporium	60	0.000389666056189845	0.0389666056189845
Anaerovorax	59	0.000383171621920015	0.0383171621920015
Blastomyces	59	0.000383171621920015	0.0383171621920015
Limnobacter	58	0.000376677187650184	0.0376677187650184
RB41	57	0.000370182753380353	0.0370182753380353
Leptothrix	56	0.000363688319110522	0.0363688319110522
RS62 marine group	55	0.000357193884840692	0.0357193884840692
Noviherbaspirillum	53	0.00034420501630103	0.034420501630103
Rhodoferax	53	0.00034420501630103	0.034420501630103
Aggregatibacter	51	0.000331216147761369	0.0331216147761368
Dechloromonas	51	0.000331216147761369	0.0331216147761368
Mycobacterium	51	0.000331216147761369	0.0331216147761368
Polaromonas	51	0.000331216147761369	0.0331216147761368
Polymorphobacter	51	0.000331216147761369	0.0331216147761368
Brevibacterium	50	0.000324721713491538	0.0324721713491538
Ellin6055	49	0.000318227279221707	0.0318227279221707
Hyphomicrobium	49	0.000318227279221707	0.0318227279221707
Lactobacillus	49	0.000318227279221707	0.0318227279221707
Moraxella	49	0.000318227279221707	0.0318227279221707
Ornithinibacillus	49	0.000318227279221707	0.0318227279221707
Deinococcus	46	0.000298743976412215	0.0298743976412215
Herbaspirillum	43	0.000279260673602722	0.0279260673602722
Pedomicrobium	43	0.000279260673602722	0.0279260673602722
Sphaerotilus	43	0.000279260673602722	0.0279260673602722
Cladophialophora	42	0.000272766239332892	0.0272766239332892
Cloacibacterium	41	0.000266271805063061	0.0266271805063061
Herminiimonas	41	0.000266271805063061	0.0266271805063061
Pseudarthrobacter	41	0.000266271805063061	0.0266271805063061
Enterobacter	40	0.00025977737079323	0.025977737079323
Paracoccus	39	0.000253282936523399	0.0253282936523399
Bosea	38	0.000246788502253569	0.0246788502253569
Lentibacillus	38	0.000246788502253569	0.0246788502253569
Rhizorhapis	38	0.000246788502253569	0.0246788502253569
Solibacillus	38	0.000246788502253569	0.0246788502253569
Afipia	37	0.000240294067983738	0.0240294067983738
Caulobacter	37	0.000240294067983738	0.0240294067983738
Lautropia	37	0.000240294067983738	0.0240294067983738
Chryseoglobus	35	0.000227305199444076	0.0227305199444076
Methylophilus	35	0.000227305199444076	0.0227305199444076
Sulfurimonas	34	0.000220810765174246	0.0220810765174246
Aspergillus	33	0.000214316330904415	0.0214316330904415
Candidatus Limnoluna	33	0.000214316330904415	0.0214316330904415
Phreatobacter	33	0.000214316330904415	0.0214316330904415
Robbsia	33	0.000214316330904415	0.0214316330904415
Undibacterium	32	0.000207821896634584	0.0207821896634584
Carboxydocella	30	0.000194833028094923	0.0194833028094923
Exiguobacterium	30	0.000194833028094923	0.0194833028094923
Mesorhizobium	30	0.000194833028094923	0.0194833028094923
Thiovirga	30	0.000194833028094923	0.0194833028094923
Variovorax	30	0.000194833028094923	0.0194833028094923
Anaerobacillus	29	0.000188338593825092	0.0188338593825092
Bauldia	29	0.000188338593825092	0.0188338593825092
Micromonospora	29	0.000188338593825092	0.0188338593825092
Rhodococcus	28	0.000181844159555261	0.0181844159555261
Ochrobactrum	27	0.00017534972528543	0.017534972528543
Caenimonas	26	0.0001688552910156	0.01688552910156
Methylotenera	26	0.0001688552910156	0.01688552910156
Ochrolechia	26	0.0001688552910156	0.01688552910156
Crossiella	25	0.000162360856745769	0.0162360856745769
Exophiala	25	0.000162360856745769	0.0162360856745769
Nitrosomonas	25	0.000162360856745769	0.0162360856745769
Nocardioides	25	0.000162360856745769	0.0162360856745769
Paenibacillus	25	0.000162360856745769	0.0162360856745769
Vibrio	25	0.000162360856745769	0.0162360856745769
Phenylobacterium	24	0.000155866422475938	0.0155866422475938
Curtobacterium	23	0.000149371988206107	0.0149371988206107
Lipingzhangella	23	0.000149371988206107	0.0149371988206107
Luteimonas	23	0.000149371988206107	0.0149371988206107
Rothia	23	0.000149371988206107	0.0149371988206107
Thiothrix	23	0.000149371988206107	0.0149371988206107
Halobacillus	22	0.000142877553936277	0.0142877553936277
SAR92 clade	22	0.000142877553936277	0.0142877553936277
Serratia	22	0.000142877553936277	0.0142877553936277
Thermicanus	22	0.000142877553936277	0.0142877553936277
Xylophilus	22	0.000142877553936277	0.0142877553936277
Duganella	21	0.000136383119666446	0.0136383119666446
Mitsuaria	21	0.000136383119666446	0.0136383119666446
Planococcus	21	0.000136383119666446	0.0136383119666446
Ramlibacter	21	0.000136383119666446	0.0136383119666446
Sulfuriferula	21	0.000136383119666446	0.0136383119666446
Alicycliphilus	20	0.000129888685396615	0.0129888685396615
Dietzia	20	0.000129888685396615	0.0129888685396615
Glutamicibacter	20	0.000129888685396615	0.0129888685396615
Alcaligenes	19	0.000123394251126784	0.0123394251126784
Psychrobacter	19	0.000123394251126784	0.0123394251126784
Psychroglaciecola	19	0.000123394251126784	0.0123394251126784
Candidimonas	18	0.000116899816856954	0.0116899816856954
Citricoccus	18	0.000116899816856954	0.0116899816856954
Citrobacter	18	0.000116899816856954	0.0116899816856954
FukuN57	18	0.000116899816856954	0.0116899816856954
GOUTA6	18	0.000116899816856954	0.0116899816856954
MM2	18	0.000116899816856954	0.0116899816856954
MND1	18	0.000116899816856954	0.0116899816856954
Niveispirillum	18	0.000116899816856954	0.0116899816856954
OM27 clade	18	0.000116899816856954	0.0116899816856954
Paraclostridium	18	0.000116899816856954	0.0116899816856954
Selenomonas	18	0.000116899816856954	0.0116899816856954
Timonella	18	0.000116899816856954	0.0116899816856954
Actinomyces	17	0.000110405382587123	0.0110405382587123
Devosia	17	0.000110405382587123	0.0110405382587123
Nitratifractor	17	0.000110405382587123	0.0110405382587123
Pseudofulvimonas	17	0.000110405382587123	0.0110405382587123
Terrisporobacter	17	0.000110405382587123	0.0110405382587123
Galbitalea	16	0.000103910948317292	0.0103910948317292
OM60(NOR5) clade	16	0.000103910948317292	0.0103910948317292
Paenalcaligenes	16	0.000103910948317292	0.0103910948317292
Pseudochelatococcus	16	0.000103910948317292	0.0103910948317292
Simplicispira	16	0.000103910948317292	0.0103910948317292
Arenimonas	15	9.74165140474613e-05	0.00974165140474613
Empedobacter	15	9.74165140474613e-05	0.00974165140474613
Ferruginibacter	15	9.74165140474613e-05	0.00974165140474613
Labrys	15	9.74165140474613e-05	0.00974165140474613
Parablastomonas	15	9.74165140474613e-05	0.00974165140474613
Parasutterella	15	9.74165140474613e-05	0.00974165140474613
Peziza	15	9.74165140474613e-05	0.00974165140474613
Phytohabitans	15	9.74165140474613e-05	0.00974165140474613
Rubrivivax	15	9.74165140474613e-05	0.00974165140474613
Thalassobacillus	15	9.74165140474613e-05	0.00974165140474613
Thermomonas	15	9.74165140474613e-05	0.00974165140474613
Advenella	14	9.09220797776306e-05	0.00909220797776306
Candidatus Aquiluna	14	9.09220797776306e-05	0.00909220797776306
Candidatus Vidania	14	9.09220797776306e-05	0.00909220797776306
Enhydrobacter	14	9.09220797776306e-05	0.00909220797776306
Ensifer	14	9.09220797776306e-05	0.00909220797776306
GKS98 freshwater group	14	9.09220797776306e-05	0.00909220797776306
Leucobacter	14	9.09220797776306e-05	0.00909220797776306
Myxococcus	14	9.09220797776306e-05	0.00909220797776306
Ramularia	14	9.09220797776306e-05	0.00909220797776306
Acidiphilium	13	8.44276455077998e-05	0.00844276455077998
Azonexus	13	8.44276455077998e-05	0.00844276455077998
Denitratisoma	13	8.44276455077998e-05	0.00844276455077998
Desulfofarcimen	13	8.44276455077998e-05	0.00844276455077998
Flavisolibacter	13	8.44276455077998e-05	0.00844276455077998
Helicobacter	13	8.44276455077998e-05	0.00844276455077998
Occallatibacter	13	8.44276455077998e-05	0.00844276455077998
Paeniglutamicibacter	13	8.44276455077998e-05	0.00844276455077998
Penicillium	13	8.44276455077998e-05	0.00844276455077998
Peptoclostridium	13	8.44276455077998e-05	0.00844276455077998
Roseateles	13	8.44276455077998e-05	0.00844276455077998
Salmonella	13	8.44276455077998e-05	0.00844276455077998
AqS1	12	7.79332112379691e-05	0.00779332112379691
Aureobasidium	12	7.79332112379691e-05	0.00779332112379691
Ellin6067	12	7.79332112379691e-05	0.00779332112379691
Ileibacterium	12	7.79332112379691e-05	0.00779332112379691
Lawsonella	12	7.79332112379691e-05	0.00779332112379691
Paraherbaspirillum	12	7.79332112379691e-05	0.00779332112379691
Verticillium	12	7.79332112379691e-05	0.00779332112379691
Aeromonas	11	7.14387769681383e-05	0.00714387769681383
Bhargavaea	11	7.14387769681383e-05	0.00714387769681383
Geomicrobium	11	7.14387769681383e-05	0.00714387769681383
Granulicatella	11	7.14387769681383e-05	0.00714387769681383
Klebsiella	11	7.14387769681383e-05	0.00714387769681383
Mogibacterium	11	7.14387769681383e-05	0.00714387769681383
Neocatenulostroma	11	7.14387769681383e-05	0.00714387769681383
Paeniclostridium	11	7.14387769681383e-05	0.00714387769681383
Polycauliona	11	7.14387769681383e-05	0.00714387769681383
Pseudoxanthomonas	11	7.14387769681383e-05	0.00714387769681383
Segetibacter	11	7.14387769681383e-05	0.00714387769681383
Umbilicaria	11	7.14387769681383e-05	0.00714387769681383
Yueomyces	11	7.14387769681383e-05	0.00714387769681383
1174-901-12	10	6.49443426983076e-05	0.00649443426983076
Actinoplanes	10	6.49443426983076e-05	0.00649443426983076
Blastomonas	10	6.49443426983076e-05	0.00649443426983076
Cardiobacterium	10	6.49443426983076e-05	0.00649443426983076
Fictibacillus	10	6.49443426983076e-05	0.00649443426983076
Ideonella	10	6.49443426983076e-05	0.00649443426983076
Nakamurella	10	6.49443426983076e-05	0.00649443426983076
P3OB-42	10	6.49443426983076e-05	0.00649443426983076
Pontibacillus	10	6.49443426983076e-05	0.00649443426983076
Rhodoplanes	10	6.49443426983076e-05	0.00649443426983076
Shinella	10	6.49443426983076e-05	0.00649443426983076
Sideroxydans	10	6.49443426983076e-05	0.00649443426983076
Sporosarcina	10	6.49443426983076e-05	0.00649443426983076
Thiomicrorhabdus	10	6.49443426983076e-05	0.00649443426983076
Bergeyella	9	5.84499084284768e-05	0.00584499084284768
Brachybacterium	9	5.84499084284768e-05	0.00584499084284768
Candidatus Cryptoprodotis	9	5.84499084284768e-05	0.00584499084284768
Candidatus Nitrotoga	9	5.84499084284768e-05	0.00584499084284768
Chaetomium	9	5.84499084284768e-05	0.00584499084284768
Clostridium sensu stricto 1	9	5.84499084284768e-05	0.00584499084284768
Conchiformibius	9	5.84499084284768e-05	0.00584499084284768
Diplomitoporus	9	5.84499084284768e-05	0.00584499084284768
Family XIII AD3011 group	9	5.84499084284768e-05	0.00584499084284768
Gymnoascus	9	5.84499084284768e-05	0.00584499084284768
Intestinibacter	9	5.84499084284768e-05	0.00584499084284768
Kocuria	9	5.84499084284768e-05	0.00584499084284768
Magnetospirillum	9	5.84499084284768e-05	0.00584499084284768
Neochlamydia	9	5.84499084284768e-05	0.00584499084284768
