genus	reads	relative_abundance	percent
Bacillus	1744	0.174034527492266	17.4034527492266
Caldalkalibacillus	1214	0.121145594252071	12.1145594252071
Crossiella	1068	0.106576190000998	10.6576190000998
Oceanobacillus	596	0.0594751022852011	5.94751022852011
Malassezia	563	0.0561820177626983	5.61820177626983
uncultured	397	0.0396168047101088	3.96168047101088
Pseudomonas	274	0.0273425805807804	2.73425805807804
Saccharopolyspora	247	0.0246482386987327	2.46482386987327
Vulcaniibacterium	233	0.0232511725376709	2.32511725376709
Aspergillus	179	0.0178624887735755	1.78624887735755
Cutibacterium	163	0.016265841732362	1.6265841732362
Leucothecium	156	0.0155673086518312	1.55673086518312
Anoxybacillus	140	0.0139706616106177	1.39706616106177
Pseudonocardia	131	0.0130725476499351	1.30725476499351
Lysinibacillus	129	0.0128729667697835	1.28729667697835
Cerasibacillus	124	0.0123740145694043	1.23740145694043
Clavispora-Candida clade	109	0.0108771579682666	1.08771579682666
FFCH7168	91	0.00908093004690151	0.908093004690151
Enterococcus	82	0.00818281608621894	0.818281608621894
Paenibacillus	82	0.00818281608621894	0.818281608621894
Corynebacterium	68	0.00678574992515717	0.678574992515717
Neogloea	61	0.00608721684462629	0.608721684462629
Streptomyces	60	0.00598742640455044	0.598742640455044
Holdemanella	57	0.00568805508432292	0.568805508432292
Stenotrophomonas	57	0.00568805508432292	0.568805508432292
Sphingomonas	56	0.00558826464424708	0.558826464424708
Solibacillus	55	0.00548847420417124	0.548847420417124
Staphylococcus	50	0.00498952200379204	0.498952200379204
Actinomadura	48	0.00478994112364036	0.478994112364036
Burkholderia-Caballeronia-Paraburkholderia	41	0.00409140804310947	0.409140804310947
Sphingobacterium	40	0.00399161760303363	0.399161760303363
Escherichia-Shigella	37	0.00369224628280611	0.369224628280611
Mycobacterium	37	0.00369224628280611	0.369224628280611
Microbacterium	35	0.00349266540265443	0.349266540265443
Methylobacterium-Methylorubrum	34	0.00339287496257859	0.339287496257859
Tumebacillus	34	0.00339287496257859	0.339287496257859
Cellvibrio	33	0.00329308452250274	0.329308452250274
Lactobacillus	30	0.00299371320227522	0.299371320227522
Geobacillus	28	0.00279413232212354	0.279413232212354
Halomonas	27	0.0026943418820477	0.26943418820477
Rikenellaceae RC9 gut group	27	0.0026943418820477	0.26943418820477
Ornithinibacillus	25	0.00249476100189602	0.249476100189602
Georgenia	24	0.00239497056182018	0.239497056182018
Virgibacillus	23	0.00229518012174434	0.229518012174434
Chryseobacterium	22	0.0021953896816685	0.21953896816685
Lawsonella	22	0.0021953896816685	0.21953896816685
Massilia	22	0.0021953896816685	0.21953896816685
Novosphingobium	19	0.00189601836144097	0.189601836144097
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	17	0.00169643748128929	0.169643748128929
Lachnospiraceae NK3A20 group	17	0.00169643748128929	0.169643748128929
Romboutsia	17	0.00169643748128929	0.169643748128929
Altererythrobacter	16	0.00159664704121345	0.159664704121345
Salipaludibacillus	16	0.00159664704121345	0.159664704121345
Jatrophihabitans	15	0.00149685660113761	0.149685660113761
Jiangella	14	0.00139706616106177	0.139706616106177
DSSF69	13	0.00129727572098593	0.129727572098593
Haloactinopolyspora	13	0.00129727572098593	0.129727572098593
Micrococcus	13	0.00129727572098593	0.129727572098593
Mogibacterium	13	0.00129727572098593	0.129727572098593
Verticiella	13	0.00129727572098593	0.129727572098593
Arthrobacter	12	0.00119748528091009	0.119748528091009
Candidatus Chlorothrix	12	0.00119748528091009	0.119748528091009
Nakamurella	12	0.00119748528091009	0.119748528091009
Pusillimonas	12	0.00119748528091009	0.119748528091009
Paracoccus	11	0.00109769484083425	0.109769484083425
Sulfuritalea	11	0.00109769484083425	0.109769484083425
Bosea	10	0.000997904400758407	0.0997904400758407
Brevibacillus	10	0.000997904400758407	0.0997904400758407
Curvibacter	10	0.000997904400758407	0.0997904400758407
Dietzia	10	0.000997904400758407	0.0997904400758407
Hyphomicrobium	10	0.000997904400758407	0.0997904400758407
Micromonospora	10	0.000997904400758407	0.0997904400758407
Rhodococcus	10	0.000997904400758407	0.0997904400758407
Comamonas	9	0.000898113960682567	0.0898113960682567
Granulicatella	9	0.000898113960682567	0.0898113960682567
Pelomonas	9	0.000898113960682567	0.0898113960682567
Planococcus	9	0.000898113960682567	0.0898113960682567
Sphingobium	9	0.000898113960682567	0.0898113960682567
Thermoanaerobacterium	9	0.000898113960682567	0.0898113960682567
Exiguobacterium	8	0.000798323520606726	0.0798323520606726
Fusibacter	8	0.000798323520606726	0.0798323520606726
Microlunatus	8	0.000798323520606726	0.0798323520606726
Nocardioides	8	0.000798323520606726	0.0798323520606726
Sporosarcina	8	0.000798323520606726	0.0798323520606726
Streptosporangium	8	0.000798323520606726	0.0798323520606726
Acinetobacter	7	0.000698533080530885	0.0698533080530885
Anaerobacillus	7	0.000698533080530885	0.0698533080530885
Brevundimonas	7	0.000698533080530885	0.0698533080530885
Domibacillus	7	0.000698533080530885	0.0698533080530885
Ensifer	7	0.000698533080530885	0.0698533080530885
Exophiala	7	0.000698533080530885	0.0698533080530885
Kurthia	7	0.000698533080530885	0.0698533080530885
Microvirga	7	0.000698533080530885	0.0698533080530885
Nocardiopsis	7	0.000698533080530885	0.0698533080530885
Puia	7	0.000698533080530885	0.0698533080530885
Streptococcus	7	0.000698533080530885	0.0698533080530885
Vibrio	7	0.000698533080530885	0.0698533080530885
Aeribacillus	6	0.000598742640455044	0.0598742640455044
Bacteroides	6	0.000598742640455044	0.0598742640455044
Blastococcus	6	0.000598742640455044	0.0598742640455044
Bradyrhizobium	6	0.000598742640455044	0.0598742640455044
Gracilibacillus	6	0.000598742640455044	0.0598742640455044
Paraclostridium	6	0.000598742640455044	0.0598742640455044
Psychrobacillus	6	0.000598742640455044	0.0598742640455044
Rhizobacter	6	0.000598742640455044	0.0598742640455044
Sediminibacterium	6	0.000598742640455044	0.0598742640455044
Abditibacterium	5	0.000498952200379204	0.0498952200379204
Acidiphilium	5	0.000498952200379204	0.0498952200379204
Acidovorax	5	0.000498952200379204	0.0498952200379204
Anaerovorax	5	0.000498952200379204	0.0498952200379204
Blastomyces	5	0.000498952200379204	0.0498952200379204
Clostridium sensu stricto 1	5	0.000498952200379204	0.0498952200379204
Cryptosporidium	5	0.000498952200379204	0.0498952200379204
DSSD61	5	0.000498952200379204	0.0498952200379204
Devosia	5	0.000498952200379204	0.0498952200379204
Family XIII AD3011 group	5	0.000498952200379204	0.0498952200379204
Fictibacillus	5	0.000498952200379204	0.0498952200379204
Flavobacterium	5	0.000498952200379204	0.0498952200379204
FukuN57	5	0.000498952200379204	0.0498952200379204
Halobacillus	5	0.000498952200379204	0.0498952200379204
Longivirga	5	0.000498952200379204	0.0498952200379204
Methylophaga	5	0.000498952200379204	0.0498952200379204
Ochrobactrum	5	0.000498952200379204	0.0498952200379204
Pantoea	5	0.000498952200379204	0.0498952200379204
Prevotellaceae UCG-004	5	0.000498952200379204	0.0498952200379204
Sphaerotilus	5	0.000498952200379204	0.0498952200379204
1959-1	4	0.000399161760303363	0.0399161760303363
Chryseomicrobium	4	0.000399161760303363	0.0399161760303363
Dethiobacter	4	0.000399161760303363	0.0399161760303363
Effusibacillus	4	0.000399161760303363	0.0399161760303363
Erythrobacter	4	0.000399161760303363	0.0399161760303363
Gemella	4	0.000399161760303363	0.0399161760303363
Neisseria	4	0.000399161760303363	0.0399161760303363
Ornithinimicrobium	4	0.000399161760303363	0.0399161760303363
Paeniclostridium	4	0.000399161760303363	0.0399161760303363
Paenisporosarcina	4	0.000399161760303363	0.0399161760303363
Penicillium	4	0.000399161760303363	0.0399161760303363
