genus	reads	relative_abundance	percent
Caldalkalibacillus	60569	0.418325977802181	41.8325977802181
Bacillus	16558	0.114359516261594	11.4359516261594
Oceanobacillus	13632	0.0941507987485237	9.41507987485237
Vulcaniibacterium	10686	0.0738039491950355	7.38039491950355
Saccharopolyspora	8001	0.0552597227689949	5.52597227689949
Pseudomonas	5759	0.0397751210382004	3.97751210382004
Sciscionella	3194	0.0220596868546644	2.20596868546644
Pseudonocardia	2186	0.0150978320176256	1.50978320176256
Burkholderia-Caballeronia-Paraburkholderia	2066	0.014269039775121	1.4269039775121
Sphingobacterium	1738	0.0120036743122751	1.20036743122751
uncultured	1324	0.0091443410756342	0.91443410756342
Geobacillus	1191	0.00822576300685826	0.822576300685826
Cutibacterium	1052	0.00726574532595708	0.726574532595708
Halomonas	911	0.00629191444101417	0.629191444101417
Virgibacillus	861	0.00594658433997058	0.594658433997058
Corynebacterium	835	0.00576701268742791	0.576701268742791
Enterococcus	782	0.00540096278032171	0.540096278032171
Escherichia-Shigella	772	0.00533189676011299	0.533189676011299
Methylobacterium-Methylorubrum	525	0.00362596606095767	0.362596606095767
Natribacillus	516	0.00356380664276982	0.356380664276982
Neisseria	446	0.0030803445013088	0.30803445013088
Sediminibacterium	412	0.00284552003259916	0.284552003259916
Streptomyces	386	0.0026659483800565	0.26659483800565
Microbacterium	359	0.00247947012549296	0.247947012549296
Anoxybacillus	355	0.00245184371740947	0.245184371740947
Solibacillus	349	0.00241040410528424	0.241040410528424
DSSD61	341	0.00235515128911727	0.235515128911727
Lysinibacillus	314	0.00216867303455373	0.216867303455373
Tetragenococcus	311	0.00214795322849111	0.214795322849111
Effusibacillus	304	0.00209960701434501	0.209960701434501
Staphylococcus	297	0.00205126080019891	0.205126080019891
Georgenia	273	0.00188550235169799	0.188550235169799
Rubrobacter	257	0.00177499671936404	0.177499671936404
Chromohalobacter	218	0.00150563924055004	0.150563924055004
Lactobacillus	194	0.00133988079204912	0.133988079204912
Deinococcus	192	0.00132606758800738	0.132606758800738
Actinoplanes	171	0.00118102894556907	0.118102894556907
Pantoea	141	0.000973830884942917	0.0973830884942917
Diaphorobacter	133	0.000918578068775943	0.0918578068775943
