status	read_id	taxid	V4	V5	domain	phylum	class	order	family	genus	species
C	M06338:88:000000000-JCJ4V:1:1101:14901:1808	1688	232|71	1:7 3:20 1673:6 1688:3 3:13 1674:3 1673:1 1674:2 3:5 1674:1 1672:7 3:1 1672:1 3:5 1672:1 1674:5 1672:3 1680:5 3:100 25141:2 46483:7 |:| 46483:7 25141:2 3:23 1688:2 0:3	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	NA
C	M06338:88:000000000-JCJ4V:1:1101:12191:2265	45185	228|155	3:59 45185:4 1673:5 45185:4 3:23 0:1 3:3 0:5 3:1 0:4 1673:2 0:29 45185:3 1673:19 1672:3 3:1 1672:5 3:19 0:1 3:2 1:1 |:| 1:5 3:2 0:1 3:19 1672:5 3:1 1672:3 1673:19 45185:3 0:29 1673:2 0:4 3:1 0:5 3:3 0:1 3:18	Bacteria	Firmicutes	Bacilli	Caldalkalibacillales	Caldalkalibacillaceae	Caldalkalibacillus	NA
C	M06338:88:000000000-JCJ4V:1:1101:18214:3087	43689	189|173	1:4 3:20 43309:30 43689:3 43309:20 43279:3 0:3 43309:5 43279:2 3:9 43309:5 3:51 |:| 3:51 43309:5 3:9 43279:2 43309:5 0:3 43279:3 43309:20 43689:3 43309:30 3:8	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Crossiella	NA
C	M06338:88:000000000-JCJ4V:1:1101:13815:3299	45185	225|196	3:8 43869:5 3:32 0:2 3:12 45185:4 1673:5 45185:4 3:37 1673:3 45185:1 1673:5 45185:1 1673:2 45185:6 1673:1 45185:10 0:14 1673:2 0:1 1673:2 0:3 1672:5 3:1 1672:5 3:20 |:| 1:7 3:20 1672:5 3:1 1672:5 0:3 1673:2 0:1 1673:2 0:14 45185:10 1673:1 45185:6 1673:2 45185:1 1673:5 45185:1 1673:3 3:37 45185:4 1673:5 45185:4 3:12 0:2 3:9	Bacteria	Firmicutes	Bacilli	Caldalkalibacillales	Caldalkalibacillaceae	Caldalkalibacillus	NA
C	M06338:88:000000000-JCJ4V:1:1101:19849:3617	49450	251|192	4:8 49450:5 4:1 49450:1 4:60 47666:5 4:1 46958:2 47666:3 4:87 48920:3 4:1 48920:22 4:18 |:| 4:151 0:1 4:6	Nucletmycea	Basidiomycota	Atractiellomycetes	Atractiellales	NA	Neogloea	NA
C	M06338:88:000000000-JCJ4V:1:1101:14385:3848	44130	216|155	3:15 43869:7 3:11 43869:3 3:5 43869:2 3:5 43869:5 3:9 43869:13 3:4 43869:5 3:1 43869:1 3:10 0:5 44122:2 44123:1 0:9 44130:9 0:3 44130:3 0:3 44122:2 0:6 43869:7 3:29 1:7 |:| 1:7 3:29 43869:7 0:6 44122:2 0:3 44130:3 0:3 44130:9 0:9 44123:1 44122:2 0:5 3:10 43869:1 3:1 43869:5 3:4 43869:13 3:1	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	uncultured	NA
C	M06338:88:000000000-JCJ4V:1:1101:8603:4142	43344	229|46	3:189 43344:1 0:5 |:| 0:5 43344:1 3:6	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	NA
C	M06338:88:000000000-JCJ4V:1:1101:19801:4328	45185	232|165	3:9 45295:5 3:7 1672:3 3:1 1673:2 45163:7 3:26 45185:4 1673:5 45185:4 3:26 0:1 3:5 0:17 45185:1 0:7 45185:14 1673:19 1672:3 3:1 1672:5 3:26 |:| 0:9 3:3 46467:5 44989:2 3:27 1672:5 3:1 1672:3 1673:19 45185:14 0:7 45185:1 0:17 3:5 0:1 3:12	Bacteria	Firmicutes	Bacilli	Caldalkalibacillales	Caldalkalibacillaceae	Caldalkalibacillus	NA
C	M06338:88:000000000-JCJ4V:1:1101:16247:4409	43676	193|164	1:5 3:2 0:1 3:19 43309:18 0:26 43676:5 43309:3 43279:3 43309:3 3:74 |:| 3:74 43309:3 43279:3 43309:3 43676:5 0:26 43309:16	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	uncultured	NA
C	M06338:88:000000000-JCJ4V:1:1101:15881:4650	1688	232|208	0:5 3:106 1680:1 0:26 3:12 1688:5 1673:7 3:3 1672:1 1673:6 1672:5 1688:2 3:11 43344:1 3:7 |:| 3:7 43344:1 3:11 1688:2 1672:5 1673:6 1672:1 3:3 1673:7 1688:5 3:12 0:26 1680:1 3:87	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	NA
