status	read_id	taxid	V4	V5	domain	phylum	class	order	family	genus	species
C	M06338:88:000000000-JCJ4V:1:1101:16002:2109	46388	232|168	1:7 3:38 3303:3 46375:15 46187:1 46388:1 46187:6 46375:18 46187:1 3303:5 3:84 1:5 3:5 1:2 3:7 |:| 3:7 1:2 3:5 1:5 3:84 3303:5 46187:1 46375:18 46187:6 46388:1	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
C	M06338:88:000000000-JCJ4V:1:1101:18405:2614	45185	209|163	1:5 3:20 1672:5 3:1 1672:3 1673:19 45185:15 1673:1 45185:6 1673:2 45185:1 1673:5 45185:1 1673:3 3:37 45185:4 1673:5 45185:4 3:38 |:| 3:38 45185:4 1673:5 45185:4 3:37 1673:3 45185:1 1673:5 45185:1 1673:2 45185:6 1673:1 45185:15 1673:7	Bacteria	Firmicutes	Bacilli	Caldalkalibacillales	Caldalkalibacillaceae	Caldalkalibacillus	NA
C	M06338:88:000000000-JCJ4V:1:1101:11556:3420	49640	250|42	4:110 49599:3 4:5 49640:6 48920:4 49640:16 48920:1 4:5 47666:1 4:5 48920:1 4:2 49640:29 4:28 |:| 4:8	Nucletmycea	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	NA
C	M06338:88:000000000-JCJ4V:1:1101:13812:3663	47912	251|154	4:161 47912:2 0:26 47741:1 4:27 |:| 4:66 46958:1 4:5 46958:1 4:47	Nucletmycea	Ascomycota	Dothideomycetes	Tubeufiales	Tubeufiaceae	Helicomyces	NA
C	M06338:88:000000000-JCJ4V:1:1101:20639:3690	47741	251|236	4:66 46958:1 4:5 46958:1 4:144 |:| 4:57 47667:3 4:21 47567:3 4:77 47673:11 0:1 47673:7 0:5 47741:5 4:12	Nucletmycea	Ascomycota	Dothideomycetes	Capnodiales	Schizothyriaceae	Schizothyrium	NA
C	M06338:88:000000000-JCJ4V:1:1101:9489:3874	48628	251|176	4:66 46958:1 4:5 46958:1 4:144 |:| 4:28 47763:3 4:13 0:1 4:5 0:7 48628:8 0:5 4:1 47962:5 4:3 47673:5 47572:8 4:15 47572:1 4:34	Nucletmycea	Ascomycota	Sordariomycetes	Incertae Sedis	Incertae Sedis	Ceratostomella	NA
C	M06338:88:000000000-JCJ4V:1:1101:15616:3952	1837	218|215	3:55 1672:11 3:1 1672:9 1673:3 1837:2 0:2 1672:5 3:3 1800:39 3:4 1800:8 1837:4 1672:5 1837:7 1800:3 1673:9 3:10 1:4 |:| 1:4 3:10 1673:9 1800:3 1837:7 1672:5 1837:4 1800:8 3:4 1800:39 3:3 1672:5 0:2 1837:2 1673:3 1672:9 3:1 1672:11 3:52	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	NA
C	M06338:88:000000000-JCJ4V:1:1101:12253:4373	1707	232|211	1:7 3:19 1673:1 3:5 1672:1 3:8 1673:2 1674:5 3:2 1680:3 3:5 1707:7 0:14 1707:2 0:3 3:1 1708:4 3:95 0:5 3:9 |:| 3:9 0:5 3:95 1708:4 3:1 0:3 1707:2 0:14 1707:7 3:5 1680:3 3:2 1674:5 1673:2 3:8 1672:1 3:5 1673:1 3:5	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Oceanobacillus	NA
C	M06338:88:000000000-JCJ4V:1:1101:23603:4611	49640	232|56	4:110 49599:3 4:5 49640:6 48920:4 49640:16 48920:1 4:5 47666:1 4:5 48920:1 4:5 0:26 4:10 |:| 4432:4 4:3 0:5 4:10	Nucletmycea	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	NA
C	M06338:88:000000000-JCJ4V:1:1101:12961:4727	44360	186|187	46454:8 3:5 1:5 3:76 46090:1 44182:1 0:2 43869:1 3:5 0:5 43869:2 0:1 44160:5 43869:5 44360:18 0:12 |:| 0:13 44360:18 43869:5 44160:5 0:1 43869:2 0:5 3:5 43869:1 0:2 44182:1 46090:1 3:76 1:5 3:5 46454:8	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	NA
C	M06338:88:000000000-JCJ4V:1:1101:20561:4740	49640	229|153	4:53 49640:5 4:2 49640:1 4:1 49640:1 4:5 49640:1 4:1 49640:5 48920:1 4:40 47666:1 4:31 49640:29 4:2 48920:1 4:5 47666:1 4:5 48920:1 49640:3 |:| 4:110 49599:3 4:5 0:1	Nucletmycea	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	NA
C	M06338:88:000000000-JCJ4V:1:1101:24424:5114	49640	250|214	4:110 49599:3 4:5 49640:6 48920:4 49640:16 48920:1 4:5 47666:1 4:5 48920:1 4:2 49640:29 4:28 |:| 4:64 49640:5 4:2 49640:1 4:1 49640:1 4:5 49640:1 4:1 49640:5 48920:1 4:40 47666:1 4:31 49640:21	Nucletmycea	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	NA
C	M06338:88:000000000-JCJ4V:1:1101:17668:5277	49640	250|150	4:110 49599:3 4:5 49640:6 48920:4 49640:16 48920:1 4:5 47666:1 4:5 48920:1 4:2 49640:29 4:28 |:| 4:64 49640:5 4:2 49640:1 4:1 49640:1 4:5 49640:1 4:1 49640:5 48920:1 4:29	Nucletmycea	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	NA
C	M06338:88:000000000-JCJ4V:1:1101:16757:5592	2852	188|120	3:90 2852:5 2379:2 3:5 2852:1 3:5 0:5 3:5 0:11 3:3 44554:2 3:13 1:7 |:| 1:7 3:13 44554:2 3:3 0:11 3:5 0:5 3:5 2852:1 3:5 2379:2 2852:5 3:22	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
